time,pmatrix_pop0,pmatrix_pop1,fssh_pop0,fssh_pop1,ehrenfest_pop0,ehrenfest_pop1,dvr_pop0,dvr_pop1
3155.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439567,0.7735776996156051,0.2691325767381319,0.7308674232618607
3160.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439562,0.7735776996156047,0.2691325025410004,0.7308674974589916
3165.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843955,0.7735776996156046,0.26913243431939904,0.7308675656805934
3170.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843954,0.7735776996156042,0.2691323716209815,0.73086762837901
3175.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439543,0.7735776996156043,0.26913231402535087,0.7308676859746415
3180.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439548,0.7735776996156043,0.26913226114198385,0.7308677388580083
3185.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439543,0.7735776996156042,0.26913221260828213,0.73086778739171
3190.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439545,0.7735776996156047,0.2691321680877291,0.7308678319122627
3195.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439545,0.7735776996156046,0.26913212726816377,0.7308678727318284
3200.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439545,0.773577699615605,0.2691320898601485,0.7308679101398436
3205.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843955,0.773577699615605,0.2691320555954469,0.7308679444045446
3210.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439554,0.773577699615605,0.26913202422558336,0.7308679757744087
3215.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439565,0.773577699615605,0.2691319955204932,0.7308680044794986
3220.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439567,0.7735776996156046,0.2691319692672617,0.7308680307327302
3225.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439584,0.7735776996156047,0.269131945268936,0.7308680547310564
3230.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439576,0.7735776996156045,0.2691319233434116,0.7308680766565805
3235.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843958,0.7735776996156049,0.26913190332239484,0.7308680966775977
3240.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156052,0.2691318850504243,0.7308681149495679
3245.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439592,0.7735776996156054,0.26913186838396064,0.7308681316160313
3250.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439584,0.773577699615605,0.26913185319053506,0.7308681468094571
3255.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156054,0.26913183934794765,0.7308681606520444
3260.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156053,0.2691318267435303,0.7308681732564616
3265.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843958,0.7735776996156054,0.26913181527344293,0.7308681847265487
3270.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439584,0.7735776996156055,0.2691318048420362,0.730868195157956
3275.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156057,0.2691317953612341,0.7308682046387579
3280.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439592,0.7735776996156057,0.2691317867499826,0.7308682132500098
3285.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156054,0.2691317789337203,0.7308682210662717
3290.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156053,0.2691317718438893,0.7308682281561029
3295.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439579,0.7735776996156052,0.26913176541748157,0.7308682345825097
3300.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156053,0.26913175959662095,0.7308682404033706
3305.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439598,0.7735776996156059,0.26913175432816155,0.7308682456718302
3310.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439598,0.7735776996156059,0.2691317495633369,0.7308682504366555
3315.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156055,0.2691317452574082,0.7308682547425837
3320.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439587,0.7735776996156055,0.26913174136936296,0.730868258630629
3325.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439592,0.7735776996156054,0.26913173786161304,0.7308682621383787
3330.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156059,0.26913173469973145,0.7308682653002601
3335.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439606,0.773577699615606,0.2691317318522063,0.7308682681477856
3340.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156059,0.2691317292901987,0.7308682707097934
3345.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.226422300384396,0.7735776996156059,0.269131726987341,0.7308682730126506
3350.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156056,0.26913172491953136,0.7308682750804606
3355.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.226422300384396,0.7735776996156054,0.2691317230647521,0.7308682769352396
3360.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156056,0.26913172140290403,0.7308682785970878
3365.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439595,0.7735776996156052,0.2691317199156469,0.7308682800843446
3370.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.226422300384396,0.7735776996156054,0.2691317185862581,0.7308682814137341
3375.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843961,0.7735776996156056,0.26913171739949626,0.7308682826004953
3380.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843962,0.7735776996156059,0.26913171634148264,0.7308682836585096
3385.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439623,0.7735776996156064,0.2691317153995855,0.7308682846004062
3390.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439617,0.7735776996156063,0.26913171456231694,0.730868285437675
3395.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439617,0.7735776996156065,0.26913171381923384,0.7308682861807582
3400.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439623,0.7735776996156065,0.26913171316085355,0.7308682868391387
3405.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439617,0.7735776996156066,0.2691317125785716,0.73086828742142
3410.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439615,0.7735776996156064,0.26913171206458386,0.7308682879354079
3415.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439615,0.7735776996156059,0.2691317116118193,0.730868288388172
3420.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439623,0.7735776996156064,0.26913171121387575,0.7308682887861158
3425.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843962,0.7735776996156064,0.2691317108649645,0.7308682891350271
