"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"13900","0.997684773041161","0.24157614184323","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14000","0.997982619782004","0.240162561842307","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14100","0.998179479656476","0.240619365782738","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14200","0.998274064457699","0.241939688130365","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14300","0.998279926949231","0.241284049834297","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14400","0.998233437731454","0.24036306815649","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14500","0.998196024917097","0.241369135066547","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14600","0.998247569308972","0.242108393520068","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14700","0.99846986701189","0.241160228652793","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14800","0.998914040815526","0.240907097265383","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"14900","0.999563685484284","0.241926738774203","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15000","1.0003112410078","0.241900281557892","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15100","1.0009578868293","0.240973914018534","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15200","1.00124714757469","0.241078766772494","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15300","1.00093596716564","0.241479207153452","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15400","0.99990552728407","0.240861417881644","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15500","0.998311903092153","0.240431867314442","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15600","0.996728350777732","0.241010574033772","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15700","0.996120808299534","0.241475688776866","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15800","0.99744735225242","0.241714868768516","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"15900","1.00085674607229","0.242516175371218","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16000","1.00492518682855","0.243033841186946","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16100","1.00683560435651","0.242268896081032","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16200","1.00420392293319","0.241077407963195","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16300","0.997834698212713","0.240394815994783","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16400","0.992668571176183","0.24030403850421","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16500","0.99414409318222","0.241157176309362","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
