time,pop1,pop2,pop3,pop1_stderr,pop2_stderr,pop3_stderr
840.0,0.9945450665633073,0.00545493343669292,-4.5519144009631415e-17,0.0038173660459569943,0.0038173660459571274,5.889424742277395e-17
850.0,0.9938753439677133,0.0061246560322865025,-4.070817756958907e-17,0.003969439770710343,0.0039694397707101675,5.905343729185176e-17
860.0,0.9930830996332322,0.00691690036676847,-3.404683942183813e-17,0.00415503337719078,0.004155033377191115,5.932314396457082e-17
870.0,0.9921550226204604,0.007844977379540484,-3.3676765080296416e-17,0.004381594553748348,0.0043815945537492304,5.994278694929474e-17
880.0,0.9910795413710802,0.008920458628919497,-3.7192471324942746e-17,0.004652785119126032,0.004652785119125992,6.007479889825685e-17
890.0,0.9898462383418947,0.010153761658104964,-3.811765717879704e-17,0.004968274324342717,0.004968274324342679,5.993906267109111e-17
900.0,0.9884449601872196,0.01155503981278053,-3.6452322641859304e-17,0.005324455885295876,0.005324455885296125,6.005807086504935e-17
910.0,0.986864886840396,0.01313511315960484,-3.349172790952556e-17,0.00571581218620943,0.0057158121862100385,6.010541562530055e-17
920.0,0.9850938614422236,0.01490613855777631,-3.0161058835650086e-17,0.006136469168501325,0.0061364691685012905,6.046001046966928e-17
930.0,0.9831182131416873,0.01688178685831244,-2.905083581102493e-17,0.006581516383407872,0.006581516383407752,6.031043441298553e-17
940.0,0.9809231453638099,0.019076854636189956,-2.572016673714946e-17,0.00704780064510947,0.007047800645109452,6.060881065567471e-17
950.0,0.9784935717144518,0.021506428285547514,-2.4054832200211726e-17,0.007534051268443555,0.007534051268443116,6.060176859584279e-17
960.0,0.9758151342116944,0.024184865788304657,-2.905083581102493e-17,0.008040348953284334,0.008040348953283925,6.107091109026743e-17
970.0,0.9728750923261538,0.027124907673846285,-2.997602166487923e-17,0.008567123118334824,0.008567123118334758,6.088890396586007e-17
980.0,0.9696628415630963,0.030337158436903284,-2.9235872981795786e-17,0.009114027198545415,0.009114027198545187,6.100919556470899e-17
990.0,0.9661699679083869,0.03383003209161301,-3.793262000802618e-17,0.0096791193817454,0.009679119381745361,6.119470933025401e-17
1000.0,0.9623898940455039,0.037610105954494995,-5.976700615898759e-17,0.010258692211181619,0.010258692211181315,6.795456695735875e-17
1010.0,0.9583172589784632,0.0416827410215364,-1.6912397408456552e-16,0.01084785106472702,0.010847851064726775,1.5367104165393704e-16
1020.0,0.9539471828557368,0.046052817144263826,-6.653936660920105e-16,0.011441640141439413,0.011441640141439504,6.406899131195677e-16
1030.0,0.9492745483568311,0.050725451643170924,-2.7307785662363435e-15,0.012036297129890617,0.012036297129891087,2.695411250703724e-15
1040.0,0.9442934299313714,0.05570657006863948,-1.067923527386938e-14,0.012630179353449013,0.0126301793534519,1.0631200946905421e-14
1050.0,0.9389968200371063,0.061003179962933585,-3.926951356684564e-14,0.013224045613899683,0.01322404561390996,3.917329054172235e-14
1060.0,0.933376777860096,0.06662322214003867,-1.3494187249089387e-13,0.013820619339969902,0.013820619340002933,1.3468232139447813e-13
1070.0,0.9274250089396238,0.07257499106080734,-4.3143266736933583e-13,0.014423591503474716,0.014423591503575486,4.3067872811153975e-13
1080.0,0.9211336999694231,0.07886630003185122,-1.2747937890485635e-12,0.015036364476062852,0.015036364476346705,1.2726339984127118e-12
1090.0,0.9144962878785664,0.08550371212487139,-3.4381564262275788e-12,0.015660866769730157,0.01566086677046034,3.432384313627271e-12
1100.0,0.9075078446678922,0.09249215534036312,-8.255388039835055e-12,0.0162967095072108,0.01629670950888396,8.241582544583697e-12
1110.0,0.9001649299977913,0.09983507001884186,-1.6633257734118465e-11,0.01694084956329477,0.01694084956651369,1.6605474501685086e-11
1120.0,0.8924650107320289,0.10753498929088146,-2.2910930560134566e-11,0.01758780006658752,0.017587800070824715,2.2872675435379753e-11
1130.0,0.884405731113279,0.11559426887751047,9.21156761979347e-12,0.01823030428801956,0.018230304286389745,9.196241114830259e-12
1140.0,0.8759843504132292,0.12401564936267574,2.2409441913229244e-10,0.01886028819859042,0.018860288160593573,2.2372065485302404e-10
1150.0,0.867197563880484,0.13280243502647027,1.0930455324187348e-09,0.01946986224346366,0.01946986206557672,1.0912223077624666e-09
1160.0,0.8580417849100975,0.14195821111614304,3.973758823661022e-09,0.02005217330269136,0.020052172680812896,3.967130404366554e-09
1170.0,0.8485138899447882,0.15148609763463736,1.2420574752036729e-08,0.020601998985161452,0.020601997112408066,1.239985656269708e-08
1180.0,0.8386124373648605,0.16138752761881464,3.501632523901973e-08,0.021116082177959804,0.021116077081506594,3.495791605571191e-08
1190.0,0.8283393982701153,0.17166051069128105,9.103860353687487e-08,0.02159327163305822,0.021593258819907285,9.088674604596276e-08
1200.0,0.8177023700999194,0.1822974089373176,2.2096276335148435e-07,0.022034536915860246,0.02203450679433496,2.205941851680824e-07
1210.0,0.8067170287553421,0.193282466779028,5.044656296210315e-07,0.022442876875439294,0.02244281017800932,5.036241532723881e-07
1220.0,0.7954092820917864,0.20458962907258235,1.0888356313158247e-06,0.022823083741722955,0.02282294396460147,1.0870193949771645e-06
1230.0,0.783816389600585,0.21618138051386482,2.2298855501110917e-06,0.02318130433533092,0.0231810261630371,2.2261659843643968e-06
1240.0,0.7719863705744978,0.22800928457981443,4.34484568743602e-06,0.023524373361817792,0.023523846342782363,4.33759826364965e-06
1250.0,0.7599753700123882,0.24001655826698293,8.071720628897902e-06,0.023858965507649973,0.023858013062348467,8.05825659192375e-06
1260.0,0.7478431697217663,0.2521425079280503,1.4322350183224031e-05,0.024190687673811155,0.024189042906806096,1.4298459741679245e-05
1270.0,0.7356475280340821,0.26432816369874684,2.4308267171032814e-05,0.02452327644612436,0.024520558036900154,2.4267719410892386e-05
1280.0,0.7234383446712063,0.27652214318121626,3.951214757726695e-05,0.024858061402099937,0.024853754676766957,3.944623748233511e-05
1290.0,0.7112527098846665,0.28868571316460595,6.157695072710042e-05,0.02519380439496205,0.025187254049772432,6.147422947733568e-05
1300.0,0.6991117250459269,0.3007961814194613,9.209353461181697e-05,0.0255269452708686,0.02551736675942279,9.19398893598127e-05
1310.0,0.6870196331977105,0.31284807832941314,0.00013228847287584017,0.02585219786282573,0.025838713946487624,0.00013206771427512075
1320.0,0.6749653438343897,0.3248520080825607,0.00018264808304958727,0.02616336730403052,0.026145074285634555,0.00018234312695128557
1330.0,0.6629259623537255,0.3368314784300125,0.00024255921626244347,0.026454217557073542,0.026430281223951597,0.00024215378578545593
1340.0,0.6508715536298092,0.3488183572548003,0.00031008911539040995,0.02671921915479555,0.0266889920806302,0.0003095696323429302
1350.0,0.6387702056180528,0.36084775687125065,0.00038203751069718246,0.026954055287441665,0.026917195097801275,0.0003813945203918976
1360.0,0.626592590265031,0.3729530698620603,0.00045433987290771454,0.02715584601663451,0.027112402992993088,0.0004535680287454399
1370.0,0.6143155982149249,0.38516162882636723,0.0005227729587078157,0.027323133278902793,0.027273574077284604,0.0005218683602845435
1380.0,0.6019250574007995,0.3974911794710403,0.0005837631281602168,0.027455718026217112,0.02740086760226965,0.0005827166475877651
1390.0,0.5894177882479614,0.40994719065058854,0.0006350211014502314,0.027554440579403157,0.02749535347673182,0.0006338060871666734
1400.0,0.576803175969972,0.42252103154440185,0.0006757924856262323,0.027620961054312252,0.02755876051434715,0.0006743446731632757
1410.0,0.5641041581180118,0.43518915064989966,0.0007066912320886231,0.027657558217460222,0.027593290198429998,0.0007048777366174941
1420.0,0.5513572907208952,0.4479134495440536,0.0007292597350506058,0.0276669443791865,0.027601479597994444,0.0007268329195951397
1430.0,0.5386115744636919,0.46064295317394055,0.0007454723623678685,0.02765209594581265,0.027586087935721607,0.0007420038256943986
1440.0,0.5259259963769602,0.47331665042281285,0.0007573532002271416,0.027616115043639172,0.027550001621776125,0.000752144035354021
1450.0,0.5133660964877838,0.4858671293662361,0.0007667741459796981,0.02756215000797069,0.027496177577907063,0.0007587409937313477
1460.0,0.5010000968561553,0.4982244949398455,0.0007754082039987395,0.02749339386482714,0.027427646928494802,0.0007629513393621652
1470.0,0.4888951368843205,0.5103200930924937,0.0007847700231856907,0.027413144336715812,0.027347570185507784,0.0007656401554212906
1480.0,0.4771139990645967,0.5220897248006029,0.0007962761348000402,0.027324861899287078,0.027259287454938344,0.0007674701068087637
1490.0,0.465712524327078,0.5334761973041745,0.000811278368746975,0.027232136212516963,0.027166278281259358,0.0007690080094911316
1500.0,0.4547378185490731,0.5444311346850932,0.0008310467658333161,0.02713849379246225,0.027071965841388976,0.0007708347453151168
1510.0,0.4442273455754911,0.5549159586748282,0.0008566957496805818,0.027047051449955152,0.026979370481727712,0.0007736497123570492
1520.0,0.43420899463533497,0.5649019443318946,0.0008890610327700014,0.02696010734363155,0.026890704319907296,0.0007783535766583316
1530.0,0.42470210460537555,0.5743693459995844,0.0009285493950400871,0.02687881572805278,0.02680705239408581,0.0007860807360897562
1540.0,0.41571921503662823,0.5833057831493114,0.000975001814060298,0.02680307978548601,0.026728273243408675,0.0007981496493974223
1550.0,0.4072680865612603,0.5917042841865382,0.0010276292522012603,0.026731723326535266,0.026653176742459057,0.0008159214035860014
1560.0,0.39935342005160757,0.5995614920130723,0.0010850879353196644,0.026662903265368715,0.026579936785919692,0.0008406078071570074
1570.0,0.3919777880999631,0.6068764729273627,0.0011457389726737754,0.026594645530134447,0.026506617512640215,0.0008731179529279625
1580.0,0.38514156716674564,0.6136503600899953,0.0012080727432592154,0.026525355705437265,0.026431664156081287,0.0009140179498764266
1590.0,0.3788420283638925,0.619886788911417,0.0012711827246903052,0.026454174731631638,0.026354235694608895,0.0009635844099562069
1600.0,0.3730720606008832,0.6255928476422447,0.0013350917568724682,0.02638110389694944,0.026274316874398188,0.0010218398299024457
1610.0,0.367819122816768,0.630780147989327,0.0014007291939042148,0.026306891657594745,0.026192615179685914,0.001088481884515703
1620.0,0.36306489420282423,0.6354656368901846,0.0014694689069909483,0.026232739295325696,0.026110302716830867,0.0011627549018434365
1630.0,0.3587857729911521,0.6396718850881221,0.00154234192072534,0.02615992756983827,0.02602869314906619,0.0012434106237861782
1640.0,0.35495401581629743,0.6434267397903953,0.0016192443933071672,0.026089480194420422,0.025948947591981224,0.0013288467517795289
1650.0,0.35153907291940006,0.6467623697375379,0.001698557343061423,0.026021958372623152,0.025871883316693527,0.0014173620149778435
1660.0,0.34850865581508744,0.6497138417504718,0.0017775024344407102,0.025957432442101785,0.02579792173741538,0.0015073916270154728
1670.0,0.3458292658620748,0.6523174437240764,0.0018532904138491312,0.025895619355710296,0.025727168355300162,0.001597649740795354
1680.0,0.34346621311341147,0.6546090038979027,0.001924782988686032,0.025836125964231186,0.02565957989064059,0.00168722097405388
1690.0,0.34138341750407347,0.6566224414225472,0.00199414107337973,0.025778710357057786,0.02559515291002182,0.0017757027628636938
1700.0,0.339543383021995,0.6583887189937351,0.002067897984270551,0.02572347356306116,0.025534068440500716,0.001863469892540901
1710.0,0.337907629983044,0.6599352713524933,0.0021570986644632692,0.02567092151877086,0.025476747130974916,0.0019520406327902399
1720.0,0.3364376342032176,0.6612858832684044,0.0022764825283781423,0.025621882794458886,0.02542380272765957,0.0020444155485544345
1730.0,0.3350960987778949,0.6624609176316232,0.0024429835904818116,0.025577313832950442,0.02537591651308583,0.0021451824881196253
1740.0,0.3338482889937777,0.6634777660095669,0.002673944996655177,0.02553805384915217,0.025333679265779254,0.002260188660204661
1750.0,0.33266320168191044,0.664351407072275,0.002985391245814712,0.025504599155834883,0.02529745227880534,0.002395717625866563
