time,pmatrix_tau_abs_rho01,pmatrix_inf_abs_rho01,ehrenfest_abs_rho01
380.0,0.01118538596294192,0.4999999999999975,0.5000000000000292
382.0,0.01096390048147951,0.4999999999999975,0.5000000000000294
384.0,0.010746800706389784,0.49999999999999745,0.5000000000000295
386.0,0.010533999794868153,0.49999999999999745,0.5000000000000298
388.0,0.01032541262371276,0.49999999999999745,0.5000000000000298
390.0,0.010120955755274079,0.49999999999999745,0.50000000000003
392.0,0.009920547404078744,0.49999999999999745,0.5000000000000301
394.0,0.009724107404114262,0.4999999999999974,0.5000000000000302
396.0,0.009531557176761537,0.4999999999999974,0.5000000000000304
398.0,0.009342819699362388,0.49999999999999745,0.5000000000000305
400.0,0.009157819474409442,0.49999999999999745,0.5000000000000308
402.0,0.00897648249934614,0.4999999999999974,0.500000000000031
404.0,0.008798736236964715,0.4999999999999974,0.5000000000000311
406.0,0.00862450958639035,0.4999999999999974,0.5000000000000313
408.0,0.008453732854639878,0.4999999999999974,0.5000000000000313
410.0,0.008286337728743653,0.49999999999999734,0.5000000000000316
412.0,0.008122257248419468,0.49999999999999734,0.5000000000000318
414.0,0.007961425779287526,0.4999999999999973,0.5000000000000319
416.0,0.007803778986615837,0.4999999999999973,0.5000000000000321
418.0,0.0076492538095854455,0.4999999999999972,0.5000000000000322
420.0,0.00749778843606528,0.4999999999999972,0.5000000000000323
422.0,0.007349322277886467,0.49999999999999717,0.5000000000000324
424.0,0.007203795946606256,0.49999999999999717,0.5000000000000328
426.0,0.007061151229751855,0.49999999999999717,0.5000000000000328
428.0,0.006921331067534659,0.4999999999999971,0.500000000000033
430.0,0.006784279530025581,0.4999999999999971,0.5000000000000331
432.0,0.006649941794782328,0.4999999999999971,0.5000000000000332
434.0,0.006518264124919698,0.49999999999999706,0.5000000000000333
436.0,0.006389193847614105,0.49999999999999706,0.5000000000000335
438.0,0.006262679333033753,0.49999999999999706,0.5000000000000338
440.0,0.00613866997368601,0.49999999999999706,0.5000000000000339
442.0,0.0060171161641737365,0.49999999999999706,0.500000000000034
444.0,0.005897969281352471,0.49999999999999706,0.5000000000000342
446.0,0.005781181664880516,0.49999999999999706,0.5000000000000343
448.0,0.005666706598154169,0.499999999999997,0.5000000000000344
450.0,0.005554498289620461,0.499999999999997,0.5000000000000345
452.0,0.005444511854459921,0.49999999999999695,0.5000000000000347
454.0,0.005336703296632053,0.49999999999999695,0.5000000000000349
456.0,0.005231029491276328,0.49999999999999695,0.500000000000035
458.0,0.005127448167461671,0.49999999999999695,0.5000000000000352
460.0,0.005025917891277522,0.4999999999999969,0.5000000000000354
