time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1870.0,0.723221956499674,0.27677804350032603,0.4803875999327376,0.5196124000672624,0.5625,0.4375,0.5948030509646866,0.40519694903532966,0.10859564580706031
1872.0,0.723539528046356,0.27646047195364404,0.480460114065197,0.519539885934803,0.5625,0.4375,0.5979197318858426,0.40208026811417374,0.10859564580706031
1874.0,0.7238564999359418,0.27614350006405824,0.4805323600855206,0.5194676399144795,0.5625,0.4375,0.6010205794873094,0.3989794205127075,0.10859564580706031
1876.0,0.7241728733007489,0.27582712669925114,0.48060433898504196,0.5193956610149582,0.5625,0.4375,0.6041053457448671,0.3958946542551497,0.10859564580706031
1878.0,0.7244886492709564,0.2755113507290436,0.480676051751429,0.5193239482485711,0.59375,0.40625,0.6071737839209896,0.3928262160790272,0.10859564580706031
1880.0,0.7248038289746093,0.2751961710253908,0.48074749936869726,0.5192525006313027,0.59375,0.40625,0.6102256485845742,0.38977435141544303,0.10859564580706031
1882.0,0.725118413537622,0.27488158646237804,0.4808186828172238,0.5191813171827762,0.59375,0.40625,0.6132606956305637,0.3867393043694535,0.10859564580706031
1884.0,0.7254324040837831,0.274567595916217,0.48088960307376016,0.51911039692624,0.59375,0.40625,0.6162786822994675,0.3837213177005494,0.10859564580706031
1886.0,0.7257458017347587,0.27425419826524144,0.4809602611114459,0.519039738888554,0.59375,0.40625,0.6192793671967706,0.3807206328032467,0.10859564580706031
1888.0,0.7260586076100967,0.2739413923899034,0.4810306578998226,0.5189693421001774,0.59375,0.40625,0.6222625103122347,0.3777374896877822,0.10859564580706031
1890.0,0.726370822827231,0.273629177172769,0.48110079440484615,0.5188992055951539,0.59375,0.40625,0.6252278730390901,0.374772126960927,0.10859564580706031
1892.0,0.7266824485014852,0.2733175514985148,0.4811706715889008,0.5188293284110993,0.59375,0.40625,0.6281752181931118,0.37182478180690526,0.10859564580706031
1894.0,0.7269934857460768,0.2730065142539232,0.481240290410812,0.518759709589188,0.59375,0.40625,0.631104310031586,0.36889568996843125,0.10859564580706031
1896.0,0.7273039356721209,0.2726960643278791,0.4813096518258597,0.5186903481741404,0.59375,0.40625,0.6340149142721567,0.3659850857278605,0.10859564580706031
1898.0,0.7276137993886345,0.27238620061136554,0.4813787567857914,0.5186212432142087,0.59375,0.40625,0.6369067981115598,0.36309320188845745,0.10859564580706031
1900.0,0.7279230780025401,0.2720769219974599,0.48144760623883526,0.5185523937611648,0.59375,0.40625,0.6397797302442355,0.36022026975578136,0.10859564580706031
1902.0,0.7282317726186701,0.2717682273813299,0.4815162011297131,0.518483798870287,0.59375,0.40625,0.6426334808808223,0.3573665191191946,0.10859564580706031
1904.0,0.7285398843397705,0.2714601156602295,0.4815845423996534,0.5184154576003467,0.59375,0.40625,0.64546782176653,0.3545321782334871,0.10859564580706031
1906.0,0.7288474142665047,0.27115258573349527,0.4816526309864042,0.5183473690135959,0.65625,0.34375,0.6482825261993875,0.351717473800629,0.10859564580706031
1908.0,0.7291543634974578,0.2708456365025422,0.4817204678242459,0.5182795321757542,0.65625,0.34375,0.6510773690483713,0.3489226309516448,0.10859564580706031
1910.0,0.7294607331291402,0.2705392668708598,0.48178805384400425,0.5182119461559959,0.65625,0.34375,0.6538521267714028,0.3461478732286132,0.10859564580706031
1912.0,0.7297665242559916,0.2702334757440083,0.481855389973063,0.5181446100269371,0.65625,0.34375,0.6566065774332209,0.34339342256679495,0.10859564580706031
1914.0,0.7300717379703853,0.2699282620296147,0.48192247713537667,0.5180775228646234,0.65625,0.34375,0.659340500723127,0.3406594992768891,0.10859564580706031
