time,ehrenfest_pop1,ehrenfest_pop2,ehrenfest_pop3,fssh_pop1,fssh_pop2,fssh_pop3,spinmint_pop1,spinmint_pop2,spinmint_pop3,dvr_pop1,dvr_pop2,dvr_pop3
1870.0,0.5391530885622647,0.4116028042515226,0.04924410718621283,0.61,0.38,0.01,0.6468772117564403,0.3415432874387724,0.011579500804787564,0.64037219122874,0.3467857600561064,0.012842048715131825
1880.0,0.5391659744088195,0.4078219328971428,0.053012092694038164,0.61,0.38,0.01,0.6469351603356959,0.34029000393775294,0.012774835726551364,0.640503070542354,0.3455817411992178,0.013915188258406638
1890.0,0.5391735955491721,0.4039963258104591,0.056830078640368986,0.61,0.37666666666666665,0.013333333333333334,0.6469777392609043,0.3386358257511699,0.014386434987925861,0.6406095496882798,0.34433740208094327,0.015053048230754774
1900.0,0.5391779349974012,0.4002335514157932,0.06058851358680588,0.61,0.37666666666666665,0.013333333333333334,0.6470080973882644,0.33650622034393435,0.016485682267801303,0.6406953318572614,0.3430470214653192,0.016257646677398315
1910.0,0.5391803087079116,0.39658754266821705,0.0642321486238719,0.61,0.37666666666666665,0.013333333333333334,0.6470291120050269,0.3338002922152641,0.019170595779708907,0.6407637587649391,0.34170525362616266,0.017530987608876888
1920.0,0.539181552745146,0.3930330539589482,0.06778539329590597,0.61,0.37,0.02,0.6470432324922787,0.3304806320207926,0.022476135486928596,0.6408177978683431,0.3403071615283904,0.01887504060324509
1930.0,0.5391821752318571,0.38950402032307135,0.07131380444507177,0.61,0.37,0.02,0.6470524347033613,0.32667310774467323,0.026274457551964857,0.6408600443901534,0.33884824532394464,0.02029171028588087
1940.0,0.5391824711917096,0.3859438469259917,0.0748736818822989,0.61,0.37,0.02,0.6470582422420129,0.3226157982946158,0.030325959463371507,0.6408927350237469,0.3373244687960457,0.021782796180186165
1950.0,0.5391826039620936,0.3823056983750423,0.078511697662864,0.61,0.36666666666666664,0.023333333333333334,0.6470617834043644,0.31851289218970597,0.03442532440592968,0.6409177703150276,0.33573228523386756,0.023349944451083095
1960.0,0.5391826595445304,0.3785176686529158,0.08229967180255461,0.61,0.36333333333333334,0.02666666666666667,0.6470638624948897,0.31448075944947146,0.03845537805563876,0.6409367429663297,0.3340686630062291,0.024994594027419263
