R,E1,E2,E3,V11,V22,V33,V12,V13,V23,nac12,nac13,nac23,abs_nac12,abs_nac13,abs_nac23
1.864032016008004,0.05644642986207697,0.413627229098946,0.5837128235082639,0.05644642986207697,0.413627229098946,0.5837128235082639,8.169610637010932e-36,4.2658975784999344e-137,0.0,-2.2484093939094782e-33,8.129427436547439e-135,4.001226843155886e-102,2.2484093939094782e-33,8.129427436547439e-135,4.001226843155886e-102
1.8672336168084043,0.05628421404484939,0.41153196694861977,0.5812008680988179,0.05628421404484939,0.41153196694861977,0.5812008680988179,1.118772110617095e-35,8.058642003401175e-137,0.0,-3.089343736187543e-33,1.5425922234475322e-134,5.517784378356269e-102,3.089343736187543e-33,1.5425922234475322e-134,5.517784378356269e-102
1.8704352176088044,0.05612256694129596,0.40944636435458664,0.5786997265106171,0.05612256694129596,0.40944636435458664,0.5786997265106171,1.5310768865495906e-35,1.521347405180363e-136,0.0,-4.242012661599582e-33,2.925213711952233e-134,7.60915362341453e-102,4.242012661599582e-33,2.925213711952233e-134,7.60915362341453e-102
1.8736368184092047,0.055961486899853516,0.4073703792069971,0.576209353038002,0.055961486899853516,0.4073703792069971,0.576209353038002,2.0939555827190394e-35,2.8701859157714057e-136,0.0,-5.820932640587239e-33,5.543439955986846e-134,1.0493202515153974e-101,5.820932640587239e-33,5.543439955986846e-134,1.0493202515153974e-101
1.8768384192096048,0.055800972273435376,0.4053039695750368,0.5737297021667955,0.055800972273435376,0.4053039695750368,0.5737297021667955,2.8618905845135165e-35,5.4113640962220416e-136,0.0,-7.982300481151098e-33,1.0498237170591862e-133,1.447037654787676e-101,7.982300481151098e-33,1.0498237170591862e-133,1.447037654787676e-101
1.8800400200100051,0.055641021419419706,0.4032470937061768,0.5712607285734994,0.055641021419419706,0.4032470937061768,0.5712607285734994,3.9088921004037653e-35,1.0195735927588238e-135,0.0,-1.0939020980160903e-32,1.9868665448388886e-133,1.9954997865697884e-101,1.0939020980160903e-32,1.9868665448388886e-133,1.9954997865697884e-101
1.8832416208104052,0.05548163269963775,0.4011997100254229,0.5688023871245032,0.05548163269963775,0.4011997100254229,0.5688023871245032,5.335430106634984e-35,1.9197536293101697e-135,0.0,-1.4981100685815655e-32,3.757822823454922e-133,2.751842757126663e-101,1.4981100685815655e-32,3.757822823454922e-133,2.751842757126663e-101
1.8864432216108054,0.05532280448036199,0.39916177713456963,0.5663546328752898,0.05532280448036199,0.39916177713456963,0.5663546328752898,7.277802797994731e-35,3.612330782221414e-135,0.0,-2.0503305107789917e-32,7.102629950420722e-133,3.79485877463133e-101,2.0503305107789917e-32,7.102629950420722e-133,3.79485877463133e-101
1.8896448224112057,0.05516453513229458,0.3971332538114581,0.563917421069646,0.05516453513229458,0.3971332538114581,0.563917421069646,9.920789345267282e-35,6.79273422431939e-135,0.0,-2.8042640833380146e-32,1.341582433684043e-132,5.233204398267326e-101,2.8042640833380146e-32,1.341582433684043e-132,5.233204398267326e-101
1.8928464232116058,0.05500682303055576,0.3951140990092363,0.5614907071388793,0.05500682303055576,0.3951140990092363,0.5614907071388793,1.3514726725159092e-34,1.2764882721122104e-134,0.0,-3.832911820336223e-32,2.5323913673510523e-132,7.216719950785418e-101,3.832911820336223e-32,2.5323913673510523e-132,7.216719950785418e-101
1.8960480240120061,0.05484966655467208,0.39310427185562224,0.5590744467010357,0.05484966655467208,0.39310427185562224,0.5590744467010357,1.83985418417088e-34,2.3971992407505476e-134,0.0,-5.23544533368608e-32,4.777047642138818e-132,9.952039310413498e-101,5.23544533368608e-32,4.777047642138818e-132,9.952039310413498e-101
1.8992496248124062,0.05469306408856485,0.3911037316521698,0.5566685955601175,0.05469306408856485,0.3911037316521698,0.5566685955601175,2.50307946344511e-34,4.498901967512537e-134,0.0,-7.14649859798158e-32,9.005412442524154e-132,1.3724116261672394e-100,7.14649859798158e-32,9.005412442524154e-132,1.3724116261672394e-100
1.9024512256128063,0.054537014020538704,0.38911243787353966,0.5542731097053121,0.054537014020538704,0.38911243787353966,0.5542731097053121,3.4031490081636776e-34,8.437698913331732e-134,0.0,-9.748726320740936e-32,1.6965354196595102e-131,1.8925909955781872e-100,9.748726320740936e-32,1.6965354196595102e-131,1.8925909955781872e-100
1.9056528264132067,0.05438151474326987,0.3871303501667702,0.5518879453102141,0.05438151474326987,0.3871303501667702,0.5518879453102141,4.623835653293881e-34,1.5814541834648033e-133,0.0,-1.3289765740982066e-31,3.194019345105959e-131,2.6099322026302215e-100,1.3289765740982066e-31,3.194019345105959e-131,2.6099322026302215e-100
1.9088544272136068,0.05422656465379483,0.3851574283505541,0.5495130587320607,0.05422656465379483,0.3851574283505541,0.5495130587320607,6.278254396839832e-34,2.9621312685086764e-133,0.0,-1.8105130274708507e-31,6.009349203306137e-131,3.599165007523438e-100,1.8105130274708507e-31,6.009349203306137e-131,3.599165007523438e-100
1.912056028014007,0.05407216215349872,0.3831936324145168,0.5471484065109649,0.05407216215349872,0.3831936324145168,0.5471484065109649,8.519037411835657e-34,5.544559938996034e-133,0.0,-2.4649088455296194e-31,1.1298808025041003e-130,4.963343870374818e-100,2.4649088455296194e-31,1.1298808025041003e-130,4.963343870374818e-100
1.9152576288144072,0.05391830564810404,0.38123892251849845,0.5447939453691496,0.05391830564810404,0.38123892251849845,0.5447939453691496,1.1552001521362866e-33,1.037158093665521e-132,0.0,-3.353628509150076e-31,2.1230152164555158e-130,6.844583840973818e-100,3.353628509150076e-31,2.1230152164555158e-130,6.844583840973818e-100
1.9184592296148075,0.05376499354765914,0.37929325899183797,0.5424496322101903,0.05376499354765914,0.37929325899183797,0.5424496322101903,1.5654494389825235e-33,1.9388219809578596e-132,0.0,-4.5597803477536815e-31,3.986473427522177e-130,9.438865674111795e-100,4.5597803477536815e-31,3.986473427522177e-130,9.438865674111795e-100
1.9216608304152076,0.05361222426652676,0.3773566023326604,0.5401154241182597,0.05361222426652676,0.3773566023326604,0.5401154241182597,2.1200004304758874e-33,3.6219796400998206e-132,0.0,-6.195662777415391e-31,7.480660237140137e-130,1.301645253308175e-99,6.195662777415391e-31,7.480660237140137e-130,1.301645253308175e-99
1.9248624312156077,0.05345999622337294,0.37542891320716887,0.5377912783573704,0.05345999622337294,0.37542891320716887,0.5377912783573704,2.8691149528164316e-33,6.761906644963024e-132,0.0,-8.412914977178038e-31,1.4028339790323693e-129,1.7950045248476705e-99,8.412914977178038e-31,1.4028339790323693e-129,1.7950045248476705e-99
1.928064032016008,0.05330830784115537,0.37351015244893687,0.5354771523706291,0.05330830784115537,0.37351015244893687,0.5354771523706291,3.880387032157151e-33,1.2615586112853738e-131,0.0,-1.1416161576362306e-30,2.6289838238232706e-129,2.4753609288268483e-99,1.1416161576362306e-30,2.6289838238232706e-129,2.4753609288268483e-99
1.9312656328164082,0.05315715754711235,0.3716002810582051,0.5331730037794864,0.05315715754711235,0.3716002810582051,0.5331730037794864,5.244658757393191e-33,2.35212712421456e-131,0.0,-1.5481341549376816e-30,4.923623569849126e-129,3.4135918356039116e-99,1.5481341549376816e-30,4.923623569849126e-129,3.4135918356039116e-99
