T_K,beads,dt_au,seed,time_fs,kappa
200.0,64,4.0,3,50.796570300000006,0.990234375
200.0,64,4.0,3,52.828433112000006,0.990234375
200.0,64,4.0,3,54.860295924000006,0.990234375
200.0,64,4.0,3,56.892158736000006,0.990234375
200.0,64,4.0,3,58.924021548000006,0.990234375
200.0,64,4.0,3,60.955884360000006,0.990234375
200.0,64,4.0,3,62.987747172000006,0.990234375
200.0,64,4.0,3,65.019609984,0.990234375
200.0,64,4.0,3,67.051472796,0.990234375
200.0,64,4.0,3,69.083335608,0.990234375
200.0,64,4.0,3,71.11519842,0.990234375
200.0,64,4.0,3,73.147061232,0.990234375
200.0,64,4.0,3,75.178924044,0.990234375
200.0,64,4.0,3,77.210786856,0.990234375
200.0,64,4.0,3,79.242649668,0.990234375
200.0,64,4.0,3,81.27451248,0.990234375
200.0,64,4.0,3,83.306375292,0.990234375
200.0,64,4.0,3,85.338238104,0.990234375
200.0,64,4.0,3,87.37010091600001,0.990234375
200.0,64,4.0,3,89.40196372800001,0.990234375
200.0,64,4.0,3,91.43382654000001,0.990234375
200.0,64,4.0,3,93.46568935200001,0.990234375
200.0,64,4.0,3,95.49755216400001,0.990234375
200.0,64,4.0,3,97.52941497600001,0.990234375
200.0,64,4.0,3,99.56127778800001,0.990234375
200.0,64,4.0,3,101.59314060000001,0.990234375
200.0,64,4.0,3,103.62500341200001,0.990234375
200.0,64,4.0,3,105.65686622400001,0.990234375
200.0,64,4.0,3,107.68872903600001,0.990234375
200.0,64,4.0,3,109.72059184800001,0.990234375
200.0,64,4.0,3,111.75245466000001,0.990234375
200.0,64,4.0,3,113.78431747200001,0.990234375
200.0,64,4.0,3,115.81618028400001,0.990234375
200.0,64,4.0,3,117.84804309600001,0.990234375
200.0,64,4.0,3,119.87990590800001,0.990234375
260.0,32,4.0,0,0.0,1.0
260.0,32,4.0,0,2.031862812,1.0
260.0,32,4.0,0,4.063725624,1.0
260.0,32,4.0,0,6.095588436000001,0.9990234375
260.0,32,4.0,0,8.127451248,0.998046875
260.0,32,4.0,0,10.15931406,0.998046875
260.0,32,4.0,0,12.191176872000002,0.998046875
260.0,32,4.0,0,14.223039684000002,0.998046875
260.0,32,4.0,0,16.254902496,0.998046875
260.0,32,4.0,0,18.286765308,0.9970703125
260.0,32,4.0,0,20.31862812,0.9970703125
260.0,32,4.0,0,22.350490932000003,0.998046875
260.0,32,4.0,0,24.382353744000003,0.998046875
260.0,32,4.0,0,26.414216556000003,0.998046875
