time,scaled_ground_population
7.346938775510204141e+04,7.236923076923076348e-01
7.369614512471655325e+04,7.236923076923076348e-01
7.392290249433106510e+04,7.236923076923076348e-01
7.414965986394557694e+04,7.236923076923076348e-01
7.437641723356008879e+04,7.236923076923076348e-01
7.460317460317460063e+04,7.236923076923076348e-01
7.482993197278912703e+04,7.236923076923076348e-01
7.505668934240362432e+04,7.236923076923076348e-01
7.528344671201813617e+04,7.236923076923076348e-01
7.551020408163264801e+04,7.236923076923076348e-01
7.573696145124715986e+04,7.236923076923076348e-01
7.596371882086168625e+04,7.236923076923076348e-01
7.619047619047618355e+04,7.236923076923076348e-01
7.641723356009070994e+04,7.236923076923076348e-01
7.664399092970522179e+04,7.236923076923076348e-01
7.687074829931971908e+04,7.236923076923076348e-01
7.709750566893424548e+04,7.236923076923076348e-01
7.732426303854875732e+04,7.236923076923076348e-01
7.755102040816326917e+04,7.236923076923076348e-01
7.777777777777778101e+04,7.236923076923076348e-01
7.800453514739229286e+04,7.236923076923076348e-01
7.823129251700680470e+04,7.236923076923076348e-01
7.845804988662131655e+04,7.236923076923076348e-01
7.868480725623582839e+04,7.236923076923076348e-01
7.891156462585034024e+04,7.236923076923076348e-01
7.913832199546485208e+04,7.236923076923076348e-01
7.936507936507936392e+04,7.236923076923076348e-01
7.959183673469387577e+04,7.236923076923076348e-01
7.981859410430838761e+04,7.236923076923076348e-01
8.004535147392289946e+04,7.236923076923076348e-01
8.027210884353741130e+04,7.236923076923076348e-01
8.049886621315193770e+04,7.236923076923076348e-01
8.072562358276643499e+04,7.236923076923076348e-01
8.095238095238094684e+04,7.236923076923076348e-01
8.117913832199547323e+04,7.236923076923076348e-01
8.140589569160997053e+04,7.236923076923076348e-01
8.163265306122449692e+04,7.236923076923076348e-01
8.185941043083899422e+04,7.236923076923076348e-01
8.208616780045352061e+04,7.236923076923076348e-01
8.231292517006803246e+04,7.236923076923076348e-01
8.253968253968252975e+04,7.236923076923076348e-01
8.276643990929705615e+04,7.236923076923076348e-01
8.299319727891156799e+04,7.236923076923076348e-01
8.321995464852607984e+04,7.236923076923076348e-01
8.344671201814059168e+04,7.236923076923076348e-01
8.367346938775510353e+04,7.236923076923076348e-01
8.390022675736961537e+04,7.236923076923076348e-01
8.412698412698412722e+04,7.236923076923076348e-01
8.435374149659863906e+04,7.236923076923076348e-01
8.458049886621315090e+04,7.236923076923076348e-01
8.480725623582766275e+04,7.236923076923076348e-01
8.503401360544217459e+04,7.236923076923076348e-01
8.526077097505668644e+04,7.236923076923076348e-01
8.548752834467119828e+04,7.236923076923076348e-01
8.571428571428571013e+04,7.236923076923076348e-01
8.594104308390022197e+04,7.236923076923076348e-01
8.616780045351474837e+04,7.236923076923076348e-01
8.639455782312924566e+04,7.236923076923076348e-01
8.662131519274375751e+04,7.236923076923076348e-01
8.684807256235828390e+04,7.236923076923076348e-01
8.707482993197278120e+04,7.236923076923076348e-01
8.730158730158730759e+04,7.234769230769231285e-01
8.752834467120181944e+04,7.232615384615385112e-01
8.775510204081633128e+04,7.230461538461540050e-01
8.798185941043084313e+04,7.228307692307693877e-01
8.820861678004535497e+04,7.226153846153847704e-01
8.843537414965986682e+04,7.226153846153847704e-01
8.866213151927437866e+04,7.226153846153847704e-01
8.888888888888889051e+04,7.226153846153847704e-01
8.911564625850340235e+04,7.226153846153847704e-01
8.934240362811791420e+04,7.226153846153847704e-01
8.956916099773242604e+04,7.226153846153847704e-01
8.979591836734693788e+04,7.226153846153847704e-01
9.002267573696144973e+04,7.226153846153847704e-01
9.024943310657596157e+04,7.226153846153847704e-01
9.047619047619047342e+04,7.226153846153847704e-01
9.070294784580499982e+04,7.226153846153847704e-01
9.092970521541949711e+04,7.226153846153847704e-01
