wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
322.05171,1.5837862,0.31667674,1281.5974,2029.7764
323.01594,1.5839314,0.31696975,1286.624,2037.9242
323.98018,1.5840385,0.31726694,1291.6746,2046.0623
324.94441,1.5841571,0.31756398,1296.7318,2054.2269
325.90864,1.5842499,0.31786484,1301.8119,2062.3953
326.87288,1.5843571,0.31817576,1306.9406,2070.6606
327.83711,1.584435,0.31849468,1312.1097,2078.9526
328.80134,1.584523,0.31882584,1317.3372,2087.3511
329.76558,1.5845758,0.31916118,1322.59,2095.7441
330.72981,1.5846406,0.31950319,1327.8787,2104.2105
331.69405,1.5846713,0.31984955,1333.1938,2112.6739
332.65828,1.5847137,0.32019612,1338.5182,2121.1681
333.62251,1.5847329,0.32054526,1343.8617,2129.6618
334.58675,1.5847678,0.32090482,1349.2575,2138.2599
335.55098,1.5847756,0.32127243,1354.696,2146.8891
336.51521,1.5847908,0.32165352,1360.2003,2155.633
337.47945,1.5847809,0.32203913,1365.7331,2164.3878
338.44368,1.5847623,0.32242996,1371.2974,2173.1805
339.40791,1.5847284,0.32282317,1376.8814,2181.9829
340.37215,1.5846947,0.3232131,1382.4608,2190.7784
341.33638,1.5846441,0.32360259,1388.0478,2199.5618
342.30061,1.58461,0.32400346,1393.6932,2208.4602
343.26485,1.5845562,0.32441276,1399.3847,2217.4038
344.22908,1.584509,0.32483578,1405.1454,2226.4656
345.19332,1.584424,0.32527182,1410.9729,2235.5794
346.15755,1.5843394,0.32570702,1416.8073,2244.7036
347.12178,1.5842288,0.32614169,1422.6499,2253.8029
348.08602,1.5841212,0.32656872,1428.4697,2262.8692
349.05025,1.5839958,0.32699695,1434.305,2271.9332
350.01448,1.5838821,0.32742941,1440.1694,2281.0585
350.97872,1.5837501,0.32786617,1446.0631,2290.2027
351.94295,1.5836215,0.32830343,1451.9697,2299.3704
352.90718,1.5834808,0.32874787,1457.9187,2308.5863
353.87142,1.5833399,0.32919717,1463.9001,2317.8515
354.83565,1.5831839,0.32965139,1469.9143,2327.1446
355.79989,1.58303,0.33011043,1475.9611,2336.4907
356.76412,1.5828575,0.33058029,1482.0675,2345.9017
357.72835,1.5826789,0.33105022,1488.1856,2355.32
358.69259,1.5824751,0.33152017,1494.3152,2364.7166
359.65682,1.5822779,0.33198556,1500.4356,2374.1061
360.62105,1.5820694,0.33245319,1506.5774,2383.51
361.58529,1.5818574,0.33292267,1512.7389,2392.9373
362.54952,1.58164,0.33339402,1518.9204,2402.3852
363.51375,1.5814153,0.33386344,1525.1044,2411.8234
364.47799,1.5811838,0.33433765,1531.3218,2421.3012
365.44222,1.58095,0.33481434,1537.562,2430.8087
366.40646,1.5807035,0.33529335,1543.8245,2440.3288
367.37069,1.5804564,0.33576968,1550.0862,2449.8436
368.33492,1.5802041,0.33624777,1556.3676,2459.3785
369.29916,1.5799553,0.3367326,1562.6918,2468.9833
370.26339,1.5796942,0.33722422,1569.0594,2478.634
371.22762,1.5794387,0.33772254,1575.4702,2488.3586
372.19186,1.579162,0.33824623,1582.0117,2498.2528
373.15609,1.5788541,0.33876321,1588.5344,2508.0641
374.12032,1.5785481,0.33927348,1595.0382,2517.8444
375.08456,1.5782129,0.33977142,1601.4961,2527.5018
376.04879,1.5778837,0.34025165,1607.8825,2537.0516
377.01303,1.5775672,0.34073672,1614.3034,2546.6721
377.97726,1.5772418,0.3412267,1620.7594,2556.3294
378.94149,1.5769244,0.34171861,1627.2364,2566.0289
379.90573,1.5765945,0.34223303,1633.8329,2575.8919
380.86996,1.5762379,0.34274229,1640.4171,2585.6876
381.83419,1.5758885,0.3432467,1646.9903,2595.4731
