beta,Cv_no_GP_over_kB,Cv_GP_over_kB
1.774749498997996167e+00,5.029989145779246718e-01,4.970006919394447942e-01
1.814028056112224618e+00,5.036342894944857429e-01,4.963651021740330127e-01
1.853306613226453070e+00,5.043635197703407735e-01,4.956355578840968557e-01
1.892585170340681522e+00,5.051936772455842828e-01,4.948049495960313848e-01
1.931863727454909974e+00,5.061315560242609646e-01,4.938664343632861442e-01
1.971142284569138425e+00,5.071835987003264767e-01,4.928135071541937529e-01
2.010420841683366877e+00,5.083558293051966270e-01,4.916400652441251795e-01
2.049699398797595329e+00,5.096537936792560064e-01,4.903404649225190925e-01
2.088977955911823781e+00,5.110825077270889638e-01,4.889095700757140617e-01
2.128256513026052232e+00,5.126464137967663426e-01,4.873427924334861050e-01
2.167535070140280684e+00,5.143493452302860813e-01,4.856361234674089755e-01
2.206813627254509136e+00,5.161944989666723549e-01,4.837861581009486045e-01
2.246092184368737588e+00,5.181844159413463435e-01,4.817901105343523893e-01
2.285370741482966039e+00,5.203209689142019867e-01,4.796458226026628080e-01
2.324649298597194491e+00,5.226053572726810925e-01,4.773517651742140155e-01
2.363927855711422943e+00,5.250381082928656795e-01,4.749070331618562291e-01
2.403206412825651395e+00,5.276190842986951957e-01,4.723113347624004477e-01
2.442484969939879846e+00,5.303474951343030153e-01,4.695649755639860201e-01
2.481763527054108298e+00,5.332219153545365575e-01,4.666688381689543252e-01
2.521042084168336750e+00,5.362403055414872721e-01,4.636243579739469101e-01
2.560320641282565202e+00,5.394000371679589234e-01,4.604334957318271804e-01
2.599599198396793653e+00,5.426979204500985698e-01,4.570987074939444894e-01
2.638877755511022105e+00,5.461302346589779200e-01,4.536229124982835703e-01
2.678156312625250557e+00,5.496927603930609196e-01,4.500094595310467627e-01
2.717434869739479009e+00,5.533808133487425618e-01,4.462620922477964491e-01
2.756713426853707460e+00,5.571892791632740982e-01,4.423849138968359296e-01
2.795991983967935912e+00,5.611126489423565733e-01,4.383823518432246602e-01
2.835270541082164364e+00,5.651450551226294694e-01,4.342591222476426260e-01
2.874549098196392816e+00,5.692803073565536609e-01,4.300201952110522252e-01
2.913827655310621267e+00,5.735119281432363714e-01,4.256707606543763678e-01
2.953106212424849719e+00,5.778331879631826151e-01,4.212161951626713363e-01
2.992384769539078171e+00,5.822371397075095656e-01,4.166620299858958543e-01
