beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
8.452104208416834297e+00,1.419534952885575727e-02,4.926677914678221359e-01,1.252134052751709969e-01,1.524201078501249799e-02
8.491382765531062304e+00,1.392696245708477561e-02,4.881244177111840332e-01,1.252051871953576700e-01,1.479169966554484163e-02
8.530661322645292088e+00,1.366350754226610190e-02,4.835922260462744982e-01,1.251972855254443739e-01,1.435406922816606472e-02
8.569939879759520096e+00,1.340489945638697299e-02,4.790720534176913237e-01,1.251896880878176910e-01,1.392878755849214119e-02
8.609218436873748104e+00,1.315105414974427483e-02,4.745647108977114059e-01,1.251823831731874448e-01,1.351553038185730402e-02
8.648496993987976111e+00,1.290188883926484190e-02,4.700709840672853135e-01,1.251753595226028359e-01,1.311398093361024718e-02
8.687775551102205895e+00,1.265732199662838835e-02,4.655916334015398061e-01,1.251686063101570545e-01,1.272382982933874078e-02
8.727054108216433903e+00,1.241727333620881897e-02,4.611273946591856188e-01,1.251621131263543074e-01,1.234477493517285515e-02
8.766332665330661911e+00,1.218166380284883658e-02,4.566789792752490307e-01,1.251558699621139470e-01,1.197652123830710014e-02
8.805611222444889918e+00,1.195041555948269871e-02,4.522470747565854876e-01,1.251498671933876095e-01,1.161878071787293167e-02
8.844889779559119702e+00,1.172345197462101689e-02,4.478323450796451444e-01,1.251440955663655485e-01,1.127127221628397916e-02
8.884168336673347710e+00,1.150069760971129604e-02,4.434354310899977780e-01,1.251385461832503765e-01,1.093372131116819405e-02
8.923446893787575718e+00,1.128207820638725892e-02,4.390569509031431172e-01,1.251332104885759522e-01,1.060586018799291284e-02
8.962725450901803725e+00,1.106752067361969384e-02,4.346975003061612775e-01,1.251280802560507943e-01,1.028742751348171204e-02
9.002004008016033509e+00,1.085695307478092182e-02,4.303576531597773092e-01,1.251231475759064238e-01,9.978168309914230497e-03
9.041282565130261517e+00,1.065030461463465673e-02,4.260379618004407343e-01,1.251184048427304851e-01,9.677833830393740150e-03
9.080561122244489525e+00,1.044750562626234683e-02,4.217389574420365439e-01,1.251138447437669388e-01,9.386181435160208600e-03
9.119839679358717532e+00,1.024848755793705997e-02,4.174611505768735520e-01,1.251094602476651441e-01,9.102974469021094320e-03
9.159118236472947316e+00,1.005318295995506934e-02,4.132050313756082671e-01,1.251052445936605695e-01,8.827982139965641351e-03
9.198396793587175324e+00,9.861525471435227119e-03,4.089710700857884240e-01,1.251011912811707816e-01,8.560979399023276037e-03
9.237675350701403332e+00,9.673449807095486561e-03,4.047597174287111410e-01,1.250972940597909477e-01,8.301746821421067055e-03
9.276953907815631339e+00,9.488891744015908944e-03,4.005714049943189248e-01,1.250935469196730598e-01,8.050070489090659781e-03
9.316232464929861123e+00,9.307788108396719551e-03,3.964065456338669580e-01,1.250899440822749731e-01,7.805741874569934423e-03
9.355511022044089131e+00,9.130076762319822709e-03,3.922655338501112032e-01,1.250864799914644110e-01,7.568557726340414959e-03
9.394789579158317139e+00,8.955696590521675798e-03,3.881487461847876186e-01,1.250831493049646137e-01,7.338319955636947445e-03
9.434068136272545146e+00,8.784587487185187976e-03,3.840565416031662127e-01,1.250799468861287234e-01,7.114835524762533683e-03
