beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
6.346483704974271056e+00,7.418020679468242395e-01,6.483704974271011778e+00,3.208271787296898547e-01
6.380789022298456459e+00,7.426883308714918863e-01,6.518010291595197181e+00,3.172821270310191566e-01
6.415094339622641861e+00,7.435745937961594221e-01,6.552315608919382584e+00,3.137370753323485695e-01
6.449399656946826376e+00,7.444608567208271799e-01,6.586620926243567986e+00,3.101920236336779824e-01
6.483704974271011778e+00,7.462333825701624734e-01,6.620926243567753389e+00,3.048744460856721017e-01
6.518010291595197181e+00,7.471196454948301202e-01,6.655231560891937903e+00,3.022156573116690503e-01
6.552315608919382584e+00,7.480059084194978780e-01,6.689536878216123306e+00,2.977843426883309275e-01
6.586620926243567986e+00,7.488921713441654138e-01,6.723842195540308708e+00,2.942392909896603403e-01
6.620926243567753389e+00,7.497784342688330605e-01,6.758147512864494111e+00,2.906942392909895867e-01
6.655231560891937903e+00,7.506646971935007073e-01,6.792452830188679513e+00,2.880354505169867019e-01
6.689536878216123306e+00,7.515509601181684651e-01,6.826758147512864916e+00,2.844903988183161148e-01
6.723842195540308708e+00,7.533234859675036477e-01,6.861063464837049430e+00,2.809453471196455276e-01
6.758147512864494111e+00,7.533234859675036477e-01,6.895368782161234833e+00,2.774002954209748295e-01
6.792452830188679513e+00,7.550960118168390522e-01,6.929674099485420236e+00,2.747415066469719447e-01
6.826758147512864916e+00,7.559822747415065880e-01,6.963979416809605638e+00,2.711964549483013576e-01
6.861063464837049430e+00,7.568685376661742348e-01,6.998284734133791041e+00,2.676514032496306594e-01
6.895368782161234833e+00,7.577548005908418816e-01,7.032590051457975555e+00,2.641063515509600723e-01
6.929674099485420236e+00,7.586410635155096394e-01,7.066895368782160958e+00,2.614475627769571875e-01
6.963979416809605638e+00,7.604135893648449329e-01,7.101200686106346360e+00,2.579025110782866004e-01
6.998284734133791041e+00,7.612998522895125797e-01,7.135506003430531763e+00,2.543574593796159022e-01
7.032590051457975555e+00,7.621861152141802265e-01,7.169811320754717165e+00,2.508124076809453151e-01
7.066895368782160958e+00,7.630723781388477622e-01,7.204116638078902568e+00,2.490398818316099938e-01
7.101200686106346360e+00,7.639586410635155200e-01,7.238421955403087082e+00,2.454948301329394067e-01
7.135506003430531763e+00,7.648449039881831668e-01,7.272727272727272485e+00,2.419497784342688196e-01
7.169811320754717165e+00,7.657311669128508136e-01,7.307032590051457888e+00,2.384047267355982325e-01
7.204116638078902568e+00,7.666174298375183493e-01,7.341337907375643290e+00,2.366322008862629389e-01
7.238421955403087082e+00,7.675036927621861071e-01,7.375643224699828693e+00,2.330871491875923518e-01
7.272727272727272485e+00,7.683899556868537539e-01,7.409948542024014095e+00,2.304283604135893559e-01
7.307032590051457888e+00,7.692762186115214007e-01,7.444253859348198610e+00,2.277695716395863323e-01
7.341337907375643290e+00,7.701624815361889365e-01,7.478559176672384012e+00,2.242245199409157730e-01
7.375643224699828693e+00,7.710487444608566943e-01,7.512864493996569415e+00,2.215657311669128882e-01
7.409948542024014095e+00,7.719350073855243410e-01,7.547169811320754818e+00,2.189069423929098923e-01
7.444253859348198610e+00,7.728212703101919878e-01,7.581475128644940220e+00,2.162481536189068687e-01
7.478559176672384012e+00,7.737075332348596346e-01,7.615780445969125623e+00,2.135893648449040116e-01
7.512864493996569415e+00,7.737075332348596346e-01,7.650085763293310137e+00,2.109305760709009880e-01
7.547169811320754818e+00,7.745937961595273924e-01,7.684391080617495540e+00,2.082717872968981310e-01
7.581475128644940220e+00,7.754800590841949282e-01,7.718696397941680942e+00,2.056129985228951074e-01
7.615780445969125623e+00,7.763663220088625749e-01,7.753001715265866345e+00,2.029542097488921115e-01
7.650085763293310137e+00,7.772525849335302217e-01,7.787307032590051747e+00,2.002954209748892267e-01
7.684391080617495540e+00,7.772525849335302217e-01,7.821612349914237150e+00,1.985228951255539331e-01
7.718696397941680942e+00,7.781388478581979795e-01,7.855917667238421664e+00,1.949778434268833460e-01
7.753001715265866345e+00,7.790251107828655153e-01,7.890222984562607067e+00,1.932053175775480525e-01
7.787307032590051747e+00,7.790251107828655153e-01,7.924528301886792470e+00,1.914327917282126201e-01
7.821612349914237150e+00,7.807976366322008088e-01,7.958833619210977872e+00,1.870014771048744695e-01
7.855917667238421664e+00,7.807976366322008088e-01,7.993138936535163275e+00,1.861152141802067395e-01
7.890222984562607067e+00,7.807976366322008088e-01,8.027444253859348677e+00,1.843426883308714459e-01
7.924528301886792470e+00,7.807976366322008088e-01,8.061749571183533192e+00,1.807976366322008588e-01
7.958833619210977872e+00,7.816838995568685666e-01,8.096054888507719483e+00,1.781388478581978629e-01
7.993138936535163275e+00,7.816838995568685666e-01,8.130360205831903997e+00,1.763663220088625694e-01
8.027444253859348677e+00,7.816838995568685666e-01,8.164665523156088511e+00,1.737075332348596846e-01
8.061749571183533192e+00,7.834564254062037492e-01,8.198970840480274802e+00,1.710487444608566887e-01
8.096054888507719483e+00,7.843426883308713959e-01,8.233276157804459316e+00,1.692762186115213952e-01
8.130360205831903997e+00,7.843426883308713959e-01,8.267581475128645607e+00,1.675036927621861016e-01
8.164665523156088511e+00,7.843426883308713959e-01,8.301886792452830122e+00,1.648449039881831057e-01
8.198970840480274802e+00,7.843426883308713959e-01,8.336192109777014636e+00,1.621861152141802209e-01
8.233276157804459316e+00,7.843426883308713959e-01,8.370497427101200927e+00,1.604135893648449274e-01
8.267581475128645607e+00,7.852289512555391537e-01,8.404802744425385441e+00,1.586410635155096338e-01
8.301886792452830122e+00,7.861152141802066895e-01,8.439108061749571732e+00,1.568685376661743403e-01
8.336192109777014636e+00,7.861152141802066895e-01,8.473413379073756246e+00,1.550960118168390467e-01
8.370497427101200927e+00,7.861152141802066895e-01,8.507718696397942537e+00,1.524372230428360508e-01
8.404802744425385441e+00,7.861152141802066895e-01,8.542024013722127052e+00,1.497784342688330272e-01
8.439108061749571732e+00,7.861152141802066895e-01,8.576329331046311566e+00,1.480059084194977337e-01
8.473413379073756246e+00,7.861152141802066895e-01,8.610634648370497857e+00,1.462333825701624401e-01
8.507718696397942537e+00,7.861152141802066895e-01,8.644939965694682371e+00,1.444608567208271466e-01
8.542024013722127052e+00,7.861152141802066895e-01,8.679245283018868662e+00,1.426883308714918530e-01
8.576329331046311566e+00,7.861152141802066895e-01,8.713550600343053176e+00,1.409158050221565595e-01
8.610634648370497857e+00,7.861152141802066895e-01,8.747855917667237691e+00,1.391432791728212659e-01
8.644939965694682371e+00,7.861152141802066895e-01,8.782161234991423981e+00,1.373707533234859723e-01
8.679245283018868662e+00,7.861152141802066895e-01,8.816466552315608496e+00,1.355982274741506788e-01
8.713550600343053176e+00,7.861152141802066895e-01,8.850771869639794787e+00,1.338257016248153852e-01
8.747855917667237691e+00,7.861152141802066895e-01,8.885077186963979301e+00,1.311669128508123894e-01
8.782161234991423981e+00,7.861152141802066895e-01,8.919382504288163815e+00,1.293943870014770958e-01
8.816466552315608496e+00,7.861152141802066895e-01,8.953687821612350106e+00,1.276218611521418023e-01
8.850771869639794787e+00,7.861152141802066895e-01,8.987993138936534621e+00,1.267355982274740722e-01
8.885077186963979301e+00,7.852289512555391537e-01,9.022298456260720911e+00,1.249630723781387925e-01
8.919382504288163815e+00,7.843426883308713959e-01,9.056603773584905426e+00,1.223042836041359216e-01
8.953687821612350106e+00,7.843426883308713959e-01,9.090909090909091717e+00,1.214180206794682054e-01
8.987993138936534621e+00,7.843426883308713959e-01,9.125214408233276231e+00,1.196454948301329119e-01
