beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
4.759919839679358944e+00,7.568031009466297254e-01,1.909284881593552308e-01,1.397662463120108223e+00,5.861351007664434842e-01,4.138648992335565158e-01,3.336673346693386777e-01,1.333667334669338622e+00,6.663326653306613778e-01
4.799198396793587840e+00,7.583825335374017040e-01,1.867294802093217021e-01,1.410254016841911096e+00,5.799267831709441490e-01,4.200732168290558510e-01,3.366733466933867769e-01,1.336673346693386666e+00,6.633266533066132231e-01
4.838476953907815847e+00,7.598225845669042133e-01,1.825944790776096727e-01,1.422845570563713746e+00,5.737057935731868508e-01,4.262942064268132047e-01,3.396793587174348761e-01,1.339679358717434932e+00,6.603206412825650684e-01
4.877755511022044743e+00,7.611230698306690190e-01,1.785238414848439314e-01,1.435437124285516619e+00,5.674731182807781771e-01,4.325268817192218229e-01,3.426853707414829753e-01,1.342685370741482975e+00,6.573146292585170247e-01
4.917034068136272751e+00,7.622839590595041903e-01,1.745178412169369475e-01,1.448028678007319492e+00,5.612297454540351449e-01,4.387702545459648551e-01,3.456913827655310745e-01,1.345691382765531019e+00,6.543086172344689810e-01
4.956312625250501647e+00,7.633053703402356005e-01,1.705766731501447697e-01,1.460620231729122143e+00,5.549766649493166337e-01,4.450233350506833663e-01,3.486973947895791737e-01,1.348697394789579285e+00,6.513026052104208263e-01
4.995591182364729654e+00,7.641875645244137205e-01,1.667004571859884710e-01,1.473211785450925015e+00,5.487148681620861446e-01,4.512851318379137999e-01,3.517034068136272729e-01,1.351703406813627328e+00,6.482965931863726716e-01
5.034869739478958550e+00,7.649309396391584803e-01,1.628892420913768957e-01,1.485803339172727666e+00,5.424453478697320863e-01,4.575546521302679137e-01,3.547094188376753721e-01,1.354709418837675372e+00,6.452905811623246279e-01
5.074148296593186558e+00,7.655360253133014492e-01,1.591430092400926422e-01,1.498394892894530539e+00,5.361690980741662393e-01,4.638309019258338162e-01,3.577154308617234157e-01,1.357715430861723416e+00,6.422845691382765843e-01
5.113426853707415454e+00,7.660034772309479711e-01,1.554616762525434792e-01,1.510986446616333190e+00,5.298871138442308171e-01,4.701128861557691829e-01,3.607214428857715149e-01,1.360721442885771459e+00,6.392785571142285406e-01
5.152705410821643461e+00,7.663340716236451966e-01,1.518451005313664337e-01,1.523578000338136063e+00,5.236003911579344416e-01,4.763996088420655584e-01,3.637274549098196141e-01,1.363727454909819503e+00,6.362725450901803859e-01
5.191983967935872357e+00,7.665286998114173578e-01,1.482930826910857369e-01,1.536169554059938935e+00,5.173099267445451233e-01,4.826900732554548767e-01,3.667334669338677133e-01,1.366733466933867769e+00,6.332665330661322312e-01
5.231262525050100365e+00,7.665883628020589979e-01,1.448053698805890077e-01,1.548761107781741586e+00,5.110167179265635573e-01,4.889832820734364982e-01,3.697394789579158125e-01,1.369739478957915813e+00,6.302605210420841875e-01
5.270541082164329261e+00,7.665141659572562993e-01,1.413816589976830129e-01,1.561352661503544459e+00,5.047217624616018306e-01,4.952782375383981694e-01,3.727454909819639117e-01,1.372745490981963856e+00,6.272545090180361438e-01
