sweep,chain_0,chain_1,chain_2,chain_3
22200,-1.23089313103317,-0.9993929911922371,-1.1621862144659807,-1.154814434739625
22300,-1.06008255755486,-1.1326717357743632,-1.0648109810333062,-0.929767149605571
22400,-1.1051380724285758,-0.9664812588904458,-0.9550062453862693,-1.0110860061716387
22500,-1.0479097613365727,-1.0765995184841046,-1.2737083897317805,-1.0288025040916906
22600,-1.0572147388165345,-1.1825591902145105,-0.8948343446879213,-1.1611289665874214
22700,-1.195526598484253,-1.1364345629717536,-0.8387207136063114,-0.9809648603494818
22800,-0.9861303727262052,-0.8787071892986005,-1.0321389940320518,-1.238570696566934
22900,-1.1023987287895962,-0.933146585325208,-1.0852557442492397,-1.100294509375599
23000,-0.9846143774340503,-1.2810246797268046,-1.1933725712912433,-1.1593612836190355
23100,-1.211871288754368,-1.0880829927152895,-1.0825803081044445,-1.0872526610521056
23200,-1.2087414771392004,-0.7404487188388087,-1.0701916933290083,-0.8098309628322535
23300,-1.0414108047586197,-1.0221829547664436,-1.0256882160202356,-1.0138339282875222
23400,-1.0733854684720865,-0.854904615261216,-1.0925057098227666,-1.0230114953854934
23500,-0.8921672906704183,-1.066577819063736,-1.067472875609487,-0.8974530275643791
23600,-1.1448684988263214,-1.1570925680038964,-0.9117085994494372,-1.2970713262838616
23700,-1.106389769133932,-1.2783357415614818,-1.1635702875963474,-0.9480895303655956
23800,-0.8268903191481127,-1.0094698046561486,-1.2086399865095923,-0.9340092498081036
23900,-0.9246672254856445,-1.1036713331296342,-0.9554831592311667,-0.9572577028560156
24000,-1.1951732300756055,-0.9213679243294434,-1.092704731492668,-1.0393348743918307
24100,-1.0431400714739374,-1.0946610482882124,-0.8968741437691785,-0.9557658012604449
24200,-0.9833917985264974,-1.2691707437964193,-0.9816437169326073,-0.8806485271797164
24300,-1.0727894262893278,-0.854076148863698,-0.8812451722893063,-1.1938321984181566
24400,-1.1147409813546276,-0.8763834145587571,-0.9048880148594062,-1.1571294967657844
24500,-0.9987865416643127,-0.9619275900061489,-0.9592094545889309,-1.1315725019320377
24600,-0.815241488793304,-0.9908575440203684,-0.918598464085119,-0.9687057911878889
24700,-1.0664911031599937,-1.1405347104902612,-1.037861259410501,-0.8831520969140714
24800,-1.072536540406115,-1.2294139145430285,-0.6213885389999927,-0.8728637362636709
24900,-1.1789336222772515,-1.0255251845709703,-1.1792599991148307,-1.1751047996305708
25000,-1.1548508251140515,-0.9981203069374864,-1.2130495807679076,-0.9942229281800773
25100,-1.0789038037006982,-1.1249087372949509,-0.8514344718249871,-1.0512451906048785
25200,-1.0899279654486338,-1.1254566489344315,-1.1138676282624351,-1.100374289008852
25300,-1.151834489960456,-0.9960318625263913,-1.0944630728330564,-1.1445459062410166
25400,-1.0106630308498212,-1.0037545169474484,-1.0741076932794307,-0.8115794664329442
25500,-1.2243345388949793,-1.1077752448585187,-1.1065979784866622,-1.1964113496870368
25600,-1.098925534230535,-0.7233805465401895,-1.2091472083721828,-1.1126594301432258
25700,-1.1702546798524025,-0.8508274191177111,-1.218370479458908,-1.1774921198224675
25800,-1.0182759904700693,-1.1139814066388936,-1.0839187744396903,-1.1019909858827301
25900,-0.8242955892272601,-1.072121357287699,-1.0952456537380086,-0.9145711746475194
26000,-0.9446026003500931,-1.155869856676103,-1.1340884014467876,-1.047735389478831
26100,-1.333665700244281,-1.1800092679269822,-1.0792048427552157,-0.8495008586819169
26200,-1.0284434431257796,-0.9709543616265772,-1.0298695116359835,-1.0075090790093948
26300,-1.113402345949341,-1.2248952218769835,-1.1289060992583602,-1.372283660158327
26400,-1.0357114087140904,-0.9640538161986004,-0.9239123020348129,-0.8148445250978429
26500,-1.1264001567135429,-1.1716395059832736,-1.3200641879974073,-1.2110335769619964
26600,-0.7509308752742379,-1.0944875135010868,-1.082029900314496,-1.0025632845639008
26700,-0.972214657611112,-0.9756849453799491,-1.1173296184287727,-1.0883101147917298
26800,-1.2838064220028402,-0.8249009362601087,-1.0080280590051072,-0.8501274198143686
26900,-0.971058337921407,-0.9313586699434369,-1.023854396417026,-1.0265513241788546
