window,center,x,pooled_count
1,-1.35,-0.22199999999999998,0
1,-1.35,-0.20999999999999996,0
1,-1.35,-0.19799999999999995,0
1,-1.35,-0.18599999999999994,0
1,-1.35,-0.17399999999999993,0
1,-1.35,-0.16199999999999992,0
1,-1.35,-0.1499999999999999,0
1,-1.35,-0.138,0
1,-1.35,-0.1260000000000001,0
1,-1.35,-0.1140000000000001,0
1,-1.35,-0.10200000000000009,0
1,-1.35,-0.09000000000000008,0
1,-1.35,-0.07800000000000007,0
1,-1.35,-0.06600000000000006,0
1,-1.35,-0.05400000000000005,0
1,-1.35,-0.04200000000000004,0
1,-1.35,-0.030000000000000027,0
1,-1.35,-0.018000000000000016,0
1,-1.35,-0.006000000000000005,0
1,-1.35,0.006000000000000005,0
1,-1.35,0.018000000000000016,0
1,-1.35,0.030000000000000027,0
1,-1.35,0.04200000000000004,0
1,-1.35,0.05400000000000005,0
1,-1.35,0.06600000000000006,0
1,-1.35,0.07800000000000007,0
1,-1.35,0.09000000000000008,0
1,-1.35,0.10200000000000009,0
1,-1.35,0.11399999999999999,0
1,-1.35,0.1259999999999999,0
1,-1.35,0.1379999999999999,0
1,-1.35,0.1499999999999999,0
1,-1.35,0.16199999999999992,0
1,-1.35,0.17399999999999993,0
1,-1.35,0.18599999999999994,0
1,-1.35,0.19799999999999995,0
1,-1.35,0.20999999999999996,0
1,-1.35,0.22199999999999998,0
1,-1.35,0.23399999999999999,0
1,-1.35,0.246,0
1,-1.35,0.258,0
1,-1.35,0.27,0
1,-1.35,0.28200000000000003,0
1,-1.35,0.29400000000000004,0
1,-1.35,0.30600000000000005,0
1,-1.35,0.31800000000000006,0
1,-1.35,0.33000000000000007,0
1,-1.35,0.3420000000000001,0
1,-1.35,0.3540000000000001,0
1,-1.35,0.3660000000000001,0
1,-1.35,0.3780000000000001,0
1,-1.35,0.3900000000000001,0
1,-1.35,0.40200000000000014,0
1,-1.35,0.41400000000000015,0
1,-1.35,0.42600000000000016,0
1,-1.35,0.43800000000000017,0
1,-1.35,0.4500000000000002,0
1,-1.35,0.4620000000000002,0
1,-1.35,0.4740000000000002,0
1,-1.35,0.4860000000000002,0
1,-1.35,0.4980000000000002,0
1,-1.35,0.51,0
1,-1.35,0.5219999999999998,0
1,-1.35,0.5339999999999998,0
1,-1.35,0.5459999999999998,0
1,-1.35,0.5579999999999998,0
1,-1.35,0.5699999999999998,0
1,-1.35,0.5819999999999999,0
1,-1.35,0.5939999999999999,0
1,-1.35,0.6059999999999999,0
1,-1.35,0.6179999999999999,0
1,-1.35,0.6299999999999999,0
1,-1.35,0.6419999999999999,0
1,-1.35,0.6539999999999999,0
1,-1.35,0.6659999999999999,0
1,-1.35,0.6779999999999999,0
1,-1.35,0.69,0
1,-1.35,0.702,0
1,-1.35,0.714,0
1,-1.35,0.726,0
1,-1.35,0.738,0
1,-1.35,0.75,0
1,-1.35,0.762,0
1,-1.35,0.774,0
1,-1.35,0.786,0
1,-1.35,0.798,0
1,-1.35,0.81,0
1,-1.35,0.8220000000000001,0
1,-1.35,0.8340000000000001,0
1,-1.35,0.8460000000000001,0
1,-1.35,0.8580000000000001,0
1,-1.35,0.8700000000000001,0
1,-1.35,0.8820000000000001,0
1,-1.35,0.8940000000000001,0
1,-1.35,0.9060000000000001,0
1,-1.35,0.9180000000000001,0
1,-1.35,0.9300000000000002,0
1,-1.35,0.9420000000000002,0
1,-1.35,0.9540000000000002,0
1,-1.35,0.9660000000000002,0
