x,analytic_F,wham_mean,wham_run_sd,plain_pooled_F
-0.10200000000000009,9.813593945728,9.787357474796346,0.07397366325098859,nan
-0.09000000000000008,9.854724880000001,9.843660280021734,0.08559343222322406,7.209148950316352
-0.07800000000000007,9.890784120448,9.893402463015574,0.08932207320605393,nan
-0.06600000000000006,9.921743797887999,9.917536509591002,0.05549674419369026,7.902296130876297
-0.05400000000000005,9.947580024448,9.946929378930529,0.051128169297853764,7.209148950316352
-0.04200000000000004,9.968272893568,9.954868938035522,0.09208121604694981,6.803683842208188
-0.030000000000000027,9.98380648,10.004203889997246,0.08338215521709409,7.902296130876297
-0.018000000000000016,9.994168839808001,10.006596905837773,0.055296056013567504,7.209148950316352
-0.006000000000000005,9.999352010368,10.028556413329484,0.06476371299726569,6.803683842208188
0.006000000000000005,9.999352010368,9.997342244204622,0.05965012143609586,7.902296130876297
0.018000000000000016,9.994168839808001,9.997896652146428,0.06207196530669618,7.209148950316352
0.030000000000000027,9.98380648,9.96727837854704,0.07656854023111148,7.902296130876297
0.04200000000000004,9.968272893568,9.99460954360357,0.07687051592747919,7.902296130876297
0.05400000000000005,9.947580024448,9.958220806217872,0.08245325312601938,nan
0.06600000000000006,9.921743797887999,9.947347788886761,0.06112130992964396,6.803683842208188
0.07800000000000007,9.890784120448,9.914171982218047,0.0662126921955087,nan
0.09000000000000008,9.854724880000001,9.861950864273485,0.05317708791567738,nan
0.10200000000000009,9.813593945728,9.826154773943927,0.06959104512786801,7.902296130876297
0.11399999999999999,9.767423168128,9.763967983861987,0.08191522699290014,7.902296130876297
0.1259999999999999,9.716248379008,9.75632037190528,0.08201836124556025,nan
0.1379999999999999,9.660109391488001,9.678406135373617,0.07514424606073664,nan
0.1499999999999999,9.599050000000002,9.609929622054139,0.07158836736516247,7.902296130876297
0.16199999999999992,9.533117980288,9.518821758959968,0.07435435624534517,6.2928582184421975
0.17399999999999993,9.462365089408001,9.500845181525136,0.07137032466105055,6.803683842208188
0.18599999999999994,9.386847065728,9.384835962856487,0.07312420759264301,6.803683842208188
0.19799999999999995,9.306623628928,9.30038516856521,0.060368345777262765,6.803683842208188
0.20999999999999996,9.22175848,9.237080916875355,0.06697586754172345,7.209148950316352
0.22199999999999998,9.132319301248,9.161801197797002,0.07614566403718302,nan
0.23399999999999999,9.038377756288,9.019451979604247,0.08953029871779271,nan
0.246,8.940009490048,8.981998733312674,0.07555702801848872,7.209148950316352
0.258,8.837294128768,8.847716023004384,0.07133971321391007,nan
0.27,8.730315280000001,8.732015260635025,0.08776802942046234,7.902296130876297
0.28200000000000003,8.619160532608,8.655029722589314,0.0716081183895838,7.902296130876297
0.29400000000000004,8.503921456768,8.511214294757094,0.057167974848084085,nan
0.30600000000000005,8.384693603968,8.38035602334538,0.06763613930809641,nan
0.31800000000000006,8.261576507008,8.265217359853215,0.05939455999171215,7.209148950316352
0.33000000000000007,8.13467368,8.163259799211767,0.07349251215136325,7.209148950316352
0.3420000000000001,8.004092618367999,8.034276959860458,0.06562212102143372,7.209148950316352
0.3540000000000001,7.869944798847999,7.8762082325391995,0.055529198229240795,7.902296130876297
0.3660000000000001,7.732345679487999,7.72535930466212,0.07366279861153098,7.902296130876297
0.3780000000000001,7.5914146996479985,7.591800434075737,0.04573820933347625,7.902296130876297
0.3900000000000001,7.447275279999998,7.449781451199544,0.057376266650365174,nan
0.40200000000000014,7.300054822527999,7.279746941153673,0.061915995112252785,7.209148950316352
0.41400000000000015,7.149884710527998,7.131585313209874,0.036468363582544454,6.803683842208188
0.42600000000000016,6.996900308607998,7.003373658032918,0.05758554270791821,6.516001769756406
0.43800000000000017,6.841240962687998,6.835091101455959,0.04468125437073473,7.902296130876297
0.4500000000000002,6.683049999999998,6.668614984544887,0.04439421140191902,6.110536661648243
0.4620000000000002,6.522474729087998,6.50934382578382,0.06522645531475345,7.902296130876297
0.4740000000000002,6.359666439807997,6.3801021204009265,0.05227622935948845,6.2928582184421975
0.4860000000000002,6.194780403327997,6.208449703478549,0.06840104805831228,6.516001769756406
0.4980000000000002,6.027975872127997,6.048688289141041,0.0742948150411631,5.705071553540078
0.51,5.85941608,5.887822766696147,0.038352977048175946,5.822854589196461
0.5219999999999998,5.689268242048003,5.67567685578127,0.046052142661297014,6.110536661648243
0.5339999999999998,5.517703554688003,5.509466381809705,0.044318310456516505,5.705071553540078
0.5459999999999998,5.344897195648002,5.355858831759831,0.0628428924319966,5.822854589196461
0.5579999999999998,5.171028323968003,5.184803917246704,0.0559512400221601,5.011924372980133
0.5699999999999998,4.996280080000004,4.996991033352702,0.051180092023560386,4.811253677517981
0.5819999999999999,4.820839585408002,4.823146744199895,0.0531628246753211,5.1297074086365155
0.5939999999999999,4.644897943168003,4.662488434884773,0.05154283428497567,4.724242300528352
0.6059999999999999,4.468650237568001,4.476140388339487,0.05462073411378662,4.644199592854815
0.6179999999999999,4.292295534208001,4.311109568067186,0.040974314691551515,4.0956336411059775
0.6299999999999999,4.116036880000003,4.112134797360674,0.042719074789471026,4.2647099711499115
0.6419999999999999,3.940081303168002,3.9383137089661755,0.040942537324224634,3.8079515686541967
0.6539999999999999,3.7646398132480012,3.7540827899685687,0.04990737555241766,3.6538008888269387
0.6659999999999999,3.589927401088002,3.5904437754910066,0.052286654296803584,3.598231037672128
0.6779999999999999,3.416163038848,3.412597064668154,0.03610720480725069,3.3173286522057257
0.69,3.2435696800000002,3.238254370053409,0.041299387807568394,3.220164903752077
0.702,3.072374259328,3.0706027166779495,0.05904650952434112,3.248335780718774
0.714,2.902807692928001,2.901340236993491,0.04715869607585715,3.08201456527126
0.726,2.7351048782080003,2.7413837191260555,0.06118622745335071,2.6873603732673113
