T_K,time_au,time_fs,DVR_flux_au,analytic_flux_au
200.0,9400.0,227.37512420000002,2.786306182133229e-10,2.7863079018930215e-10
200.0,9500.0,229.79400850000002,2.7863062192288315e-10,2.7863079018930215e-10
200.0,9600.0,232.21289280000002,2.7863062551267625e-10,2.7863079018930215e-10
200.0,9700.0,234.63177710000002,2.7863062898784067e-10,2.7863079018930215e-10
200.0,9800.0,237.05066140000002,2.7863063235324133e-10,2.7863079018930215e-10
200.0,9900.0,239.46954570000003,2.7863063561348727e-10,2.7863079018930215e-10
200.0,10000.0,241.88843000000003,2.786306387729469e-10,2.7863079018930215e-10
230.0,6000.0,145.133058,1.1247135997633031e-09,1.1247140374971768e-09
230.0,6100.0,147.5519423,1.124713614918716e-09,1.1247140374971768e-09
230.0,6200.0,149.9708266,1.1247136293333627e-09,1.1247140374971768e-09
230.0,6300.0,152.3897109,1.124713643005651e-09,1.1247140374971768e-09
230.0,6400.0,154.8085952,1.1247136559602942e-09,1.1247140374971768e-09
230.0,6500.0,157.22747950000002,1.124713668253832e-09,1.1247140374971768e-09
230.0,6600.0,159.64636380000002,1.1247136799518632e-09,1.1247140374971768e-09
230.0,6700.0,162.06524810000002,1.1247136911066633e-09,1.1247140374971768e-09
230.0,6800.0,164.48413240000002,1.1247137017515044e-09,1.1247140374971768e-09
230.0,6900.0,166.90301670000002,1.1247137119090153e-09,1.1247140374971768e-09
230.0,7000.0,169.321901,1.1247137216018536e-09,1.1247140374971768e-09
230.0,7100.0,171.7407853,1.124713730857161e-09,1.1247140374971768e-09
230.0,7200.0,174.1596696,1.124713739704332e-09,1.1247140374971768e-09
230.0,7300.0,176.5785539,1.1247137481706368e-09,1.1247140374971768e-09
230.0,7400.0,178.9974382,1.1247137562788984e-09,1.1247140374971768e-09
230.0,7500.0,181.4163225,1.1247137640481596e-09,1.1247140374971768e-09
230.0,7600.0,183.8352068,1.124713771495724e-09,1.1247140374971768e-09
230.0,7700.0,186.2540911,1.1247137786386109e-09,1.1247140374971768e-09
230.0,7800.0,188.6729754,1.124713785493696e-09,1.1247140374971768e-09
230.0,7900.0,191.09185970000001,1.12471379207706e-09,1.1247140374971768e-09
230.0,8000.0,193.51074400000002,1.12471379840341e-09,1.1247140374971768e-09
230.0,8100.0,195.92962830000002,1.124713804486025e-09,1.1247140374971768e-09
230.0,8200.0,198.34851260000002,1.124713810337099e-09,1.1247140374971768e-09
230.0,8300.0,200.76739690000002,1.124713815968133e-09,1.1247140374971768e-09
230.0,8400.0,203.18628120000002,1.1247138213901047e-09,1.1247140374971768e-09
230.0,8500.0,205.60516550000003,1.1247138266134378e-09,1.1247140374971768e-09
230.0,8600.0,208.0240498,1.1247138316479099e-09,1.1247140374971768e-09
230.0,8700.0,210.4429341,1.1247138365026292e-09,1.1247140374971768e-09
230.0,8800.0,212.8618184,1.1247138411860898e-09,1.1247140374971768e-09
230.0,8900.0,215.2807027,1.1247138457062793e-09,1.1247140374971768e-09
230.0,9000.0,217.699587,1.1247138500707437e-09,1.1247140374971768e-09
230.0,9100.0,220.1184713,1.1247138542866308e-09,1.1247140374971768e-09
230.0,9200.0,222.5373556,1.1247138583606866e-09,1.1247140374971768e-09
230.0,9300.0,224.9562399,1.1247138622992686e-09,1.1247140374971768e-09
230.0,9400.0,227.37512420000002,1.1247138661083628e-09,1.1247140374971768e-09
230.0,9500.0,229.79400850000002,1.1247138697936145e-09,1.1247140374971768e-09
230.0,9600.0,232.21289280000002,1.1247138733603623e-09,1.1247140374971768e-09
230.0,9700.0,234.63177710000002,1.1247138768136637e-09,1.1247140374971768e-09
