T_K,imaginary_time_fraction,x
180.0,0.85546875,0.3718012976136548
180.0,0.859375,0.38227127159928415
180.0,0.86328125,0.3924505006459822
180.0,0.8671875,0.4023374667589812
180.0,0.87109375,0.41193099847674713
180.0,0.875,0.4212302372640267
180.0,0.87890625,0.4302346054992829
180.0,0.8828125,0.4389437761482024
180.0,0.88671875,0.4473576441771377
180.0,0.890625,0.45547629972835396
180.0,0.89453125,0.4633000030523662
180.0,0.8984375,0.4708291611709965
180.0,0.90234375,0.4780643062275404
180.0,0.90625,0.48500607546709357
180.0,0.91015625,0.4916551927801323
180.0,0.9140625,0.4980124517354116
180.0,0.91796875,0.5040787000236705
180.0,0.921875,0.5098548252311256
180.0,0.92578125,0.5153417418609255
180.0,0.9296875,0.520540379521305
180.0,0.93359375,0.5254516722008454
180.0,0.9375,0.5300765485537761
180.0,0.94140625,0.5344159231214279
180.0,0.9453125,0.5384706884196181
180.0,0.94921875,0.5422417078257487
180.0,0.953125,0.5457298092036348
180.0,0.95703125,0.5489357792084454
180.0,0.9609375,0.5518603582185606
180.0,0.96484375,0.5545042358455833
180.0,0.96875,0.5568680469781296
180.0,0.97265625,0.5589523683193464
180.0,0.9765625,0.5607577153823385
180.0,0.98046875,0.5622845399118219
180.0,0.984375,0.5635332277043504
180.0,0.98828125,0.5645040968033925
180.0,0.9921875,0.565197396049366
180.0,0.99609375,0.5656133039684824
230.0,0.0,0.2677441070577576
230.0,0.00390625,0.2676675388769783
230.0,0.0078125,0.2674378603494794
230.0,0.01171875,0.2670551495867229
230.0,0.015625,0.26651953699745545
230.0,0.01953125,0.2658312056215704
230.0,0.0234375,0.2649903915962982
230.0,0.02734375,0.2639973847534944
230.0,0.03125,0.26285252934641584
230.0,0.03515625,0.2615562249039857
230.0,0.0390625,0.26010892721012846
230.0,0.04296875,0.2585111494053212
230.0,0.046875,0.2567634632070386
230.0,0.05078125,0.25486650024526963
230.0,0.0546875,0.252820953508758
230.0,0.05859375,0.25062757889704584
230.0,0.0625,0.24828719687280276
230.0,0.06640625,0.2458006942082784
230.0,0.0703125,0.2431690258190369
230.0,0.07421875,0.24039321667741523
230.0,0.078125,0.23747436379739165
230.0,0.08203125,0.23441363828175774
230.0,0.0859375,0.231212287421667
230.0,0.08984375,0.2278716368377777
230.0,0.09375,0.2243930926513319
230.0,0.09765625,0.22077814367261714
230.0,0.1015625,0.21702836359335195
230.0,0.10546875,0.2131454131686271
230.0,0.109375,0.20913104237313607
230.0,0.11328125,0.20498709251554267
230.0,0.1171875,0.20071549829398783
230.0,0.12109375,0.19631828977492763
230.0,0.125,0.19179759427675266
230.0,0.12890625,0.18715563813896707
230.0,0.1328125,0.18239474835713043
230.0,0.13671875,0.17751735406330046
230.0,0.140625,0.17252598783137643
230.0,0.14453125,0.16742328678655694
230.0,0.1484375,0.16221199349809876
230.0,0.15234375,0.15689495663472697
230.0,0.15625,0.1514751313624042
230.0,0.16015625,0.14595557946474372
230.0,0.1640625,0.14033946916715526
230.0,0.16796875,0.13463007464685742
230.0,0.171875,0.12883077521218197
230.0,0.17578125,0.122945054136143
230.0,0.1796875,0.1169764971310407
230.0,0.18359375,0.1109287904529197
230.0,0.1875,0.10480571862699524
230.0,0.19140625,0.09861116178767776
230.0,0.1953125,0.09234909262956142
230.0,0.19921875,0.08602357296866037
230.0,0.203125,0.07963874991625534
230.0,0.20703125,0.07319885167092079
230.0,0.2109375,0.06670818293759455
230.0,0.21484375,0.06017111998589724
230.0,0.21875,0.053592105363250216
230.0,0.22265625,0.046975642281641285
230.0,0.2265625,0.04032628870009429
230.0,0.23046875,0.03364865112795992
230.0,0.234375,0.026947378177015483
230.0,0.23828125,0.02022715389299477
230.0,0.2421875,0.013492690899515008
230.0,0.24609375,0.006748723389391885
230.0,0.25,1.6838895511376788e-17
230.0,0.25390625,-0.006748723389391853
230.0,0.2578125,-0.013492690899514973
230.0,0.26171875,-0.020227153892994735
230.0,0.265625,-0.026947378177015452
230.0,0.26953125,-0.03364865112795989
230.0,0.2734375,-0.04032628870009427
230.0,0.27734375,-0.04697564228164126
230.0,0.28125,-0.05359210536325019
230.0,0.28515625,-0.06017111998589722
230.0,0.2890625,-0.06670818293759452
230.0,0.29296875,-0.07319885167092074
230.0,0.296875,-0.07963874991625529
230.0,0.30078125,-0.08602357296866031
230.0,0.3046875,-0.09234909262956137
230.0,0.30859375,-0.09861116178767775
230.0,0.3125,-0.10480571862699521
230.0,0.31640625,-0.11092879045291965
230.0,0.3203125,-0.11697649713104062
230.0,0.32421875,-0.12294505413614304
230.0,0.328125,-0.12883077521218195
230.0,0.33203125,-0.1346300746468574
230.0,0.3359375,-0.14033946916715523
230.0,0.33984375,-0.14595557946474366
230.0,0.34375,-0.15147513136240412
230.0,0.34765625,-0.15689495663472697
230.0,0.3515625,-0.16221199349809873
230.0,0.35546875,-0.1674232867865569
230.0,0.359375,-0.1725259878313764
230.0,0.36328125,-0.1775173540633004
230.0,0.3671875,-0.18239474835713046
230.0,0.37109375,-0.18715563813896707
230.0,0.375,-0.1917975942767526
230.0,0.37890625,-0.19631828977492757
230.0,0.3828125,-0.20071549829398774
230.0,0.38671875,-0.2049870925155427
230.0,0.390625,-0.20913104237313607
230.0,0.39453125,-0.2131454131686271
230.0,0.3984375,-0.2170283635933519
230.0,0.40234375,-0.22077814367261714
230.0,0.40625,-0.22439309265133192
230.0,0.41015625,-0.2278716368377777
