T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
186.0,0.7475894643487858,0.005588900072053046,15.89551921777041,0.0025659356060934247,1.3537346806785428e-10,3.9707442961588796e-12,1.1884712935977342e-10,1.2788497879844833e-10,34.092718636858216,29.93069321405078,32.20680287122959,0.9446827404491667,0.8779204009178724
188.0,0.755628060739633,0.005709737661771384,15.793493835695378,0.002607432718522535,1.50480748073561e-10,4.807882916082336e-12,1.3263854444131885e-10,1.4391165042183268e-10,31.298754711809618,27.587723485870217,29.932436570043993,0.9563459264003853,0.8814319847511646
190.0,0.7636666571304801,0.005831867632128424,15.691468453620342,0.0026491511515007397,1.6712707723161435e-10,5.798763350399111e-12,1.4791132707617507e-10,1.6191930901087919e-10,28.821158432014908,25.50739151408805,27.923075874399114,0.9688394704975428,0.8850231184931872
192.0,0.7717052535213274,0.005955289983124163,15.589443071545311,0.002691089737068807,1.8545015618705196e-10,6.96737299240599e-12,1.6480729801468592e-10,1.8214998671016508e-10,26.616941046385957,23.65415174332073,26.14328053180121,0.9822045473309917,0.8886878361453366
194.0,0.7797438499121745,0.006080004714758597,15.48741768947028,0.0027332473255655644,2.0559783798971698e-10,8.340755332157563e-12,1.8347964697170585e-10,2.0487499509488034e-10,24.649786476416583,21.997965371829682,24.563122515414186,0.9964841901942918,0.8924201186438674
196.0,0.7877824463030216,0.006206011827031732,15.385392307395247,0.002775622785155048,2.277286700773069e-10,9.949305610316023e-12,2.040936073427403e-10,2.303984371159458e-10,22.888900893865845,20.51335191986907,23.15723791588583,1.0117234559782595,0.8962139342115193
198.0,0.7958210426938688,0.006333311319943565,15.283366925320218,0.0028182150013705705,2.520124494176314e-10,1.1827084638471676e-11,2.268271506272661e-10,2.5906113717660995e-10,21.30807862809013,19.17861903933895,21.90405709399628,1.0279696014036892,0.9000632752526103
200.0,0.8038596390847159,0.006461903193494098,15.181341543245185,0.0028610228766749652,2.7863079018930215e-10,1.4012150993022597e-11,2.5187169977508153e-10,2.912450388006997e-10,19.884940601057423,17.975234487588807,20.78517701855527,1.0452722708887536,0.9039621917016405
202.0,0.8118982354755631,0.006591787447683328,15.079316161170153,0.002904045330036253,3.077777033372187e-10,1.6546911727408912e-11,2.7943286059730346e-10,3.2737812516974716e-10,18.600310946688886,16.88731197704044,19.784847502840424,1.06368369644715,0.9079048208087412
204.0,0.8199368318664103,0.006722964082511263,14.977290779095117,0.002947281296518062,3.3966018729895505e-10,1.9478491683697148e-11,3.0973117031308757e-10,3.679399243040209e-10,17.437704767625277,15.901188620899342,18.88954906154127,1.0832589101182328,0.9118854134072382
206.0,0.8279754282572575,0.00685543309797789,14.875265397020085,0.002990729726884111,3.7449882916059636e-10,2.285912141962967e-11,3.430028622366243e-10,4.1346766792015354e-10,16.38290563691592,15.005076351800625,18.08764476683251,1.1040559695390828,0.9158983567597065
208.0,0.8360140246481046,0.006989194494083216,14.773240014945053,0.0030343895872162103,4.125284154659143e-10,2.6746543701726293e-11,3.7950064554679866e-10,4.645631811042596e-10,15.423615853561243,14.188773315122008,17.36909210718974,1.126136197380674,0.9199381941197585
